id,title,duration,markers,points,tags,overlaps,short,long,exact_dupes,penalty
249,"Bella Reese, Diamond Kitty, Kayla Carrera in Boldly Girls Cumlouder",2988.67,8,0,3,0,0,0,0,0
250,,7096.8,15,0,3,0,0,0,0,0
251,"Bobbi Starr, Monica Santhiago in Anal Integrity Sc3",3115.78,7,0,1,0,0,0,0,0
252,Bonny Bon in Sexual Rage 2 Sc3,2024.6,4,0,1,0,0,1,0,1
253,Cali Caliente in The Gangbang Part IV,2273.1,12,0,3,0,0,0,0,0
254,Carla Morelli in Gangbang with 4 Cocks,2008.38,6,0,2,0,0,1,0,1
255,Carla Morelli in Hot for Teacher,1324.61,3,0,2,0,0,0,0,0
256,Cherie DeVille in Lewood Gangbang Battle of the MILFs 2 Sc1,4683.35,16,0,4,0,0,0,0,0
257,Chloe Amour in Mon Amour Sc1,2140.95,14,0,3,0,0,0,0,0
258,Chloe Amour in Mon Amour Sc2,1705.6,4,0,2,0,0,0,0,0
259,Chloe Amour in Mon Amour Sc3,2999.48,12,0,4,0,0,0,0,0
260,"Chloe Amour, Jennifer White in Mon Amour Sc4",2322.44,4,0,2,0,0,0,0,0
261,Christy Love in Lewood Gangbang Battle of the MILFs 3 Sc2,4135.34,17,0,4,0,0,0,0,0
262,"Cindy Starfall, Gaia in Swappers Sc1",1883.39,5,0,3,0,0,0,0,0
263,Cookie Cream in Asian 1st BBG Threesome & DP,1959.48,6,0,2,0,0,0,0,0
265,"Danielle Renee, MarsFoxxx in Group Bang",2928.73,16,0,4,0,0,0,0,0
266,Daria Glower in Die Haremswächterin des Öl Scheichs Sc6,872.11,2,0,1,0,0,1,0,1
267,Dee Williams in Lewood Gangbang Battle of the Milfs 4 Sc2,3879.57,12,0,3,0,0,0,0,0
268,Anissa Kate in Les Retrouvailles Sc5,1655.17,10,0,2,0,0,0,0,0
269,Emmanuelle Noire in Busty Ebony Beauty,2046.87,10,0,3,0,0,0,0,0
270,Francesca Le in Lewood Gangbang Battle of the MILFs Sc1,313.95,1,0,1,0,0,0,0,0
271,Francesca Le in Lewood Gangbang Battle of the MILFs Sc2,322.69,2,0,1,0,0,0,0,0
272,Francesca Le in Lewood Gangbang Battle of the MILFs Sc3,351.55,1,0,1,0,0,1,0,1
273,Francesca Le in Lewood Gangbang Battle of the MILFs Sc4,353.15,2,0,1,0,0,0,0,0
274,Francesca Le in Lewood Gangbang Battle of the MILFs Sc5,372.77,2,0,2,0,0,0,0,0
275,Francesca Le in Lewood Gangbang Battle of the MILFs Sc6,2935.1,18,0,3,0,0,0,0,0
276,"Gaia in Screw My Wife, Please 76 Sc2",970.13,1,0,1,0,0,0,0,0
277,Gaia in Throated 39 Sc5,1687.53,9,0,3,0,0,0,0,0
278,Hannah Jo in Thick Dick Threesome,2248.52,10,0,1,0,0,0,0,0
279,India Summer in Lewood Gangbang Battle of the MILFs 2 Sc2,4474.28,23,0,3,0,0,0,0,0
280,"Jacky, Sai Tai Tiger in Sperma Gang Bang Sc2",1356.44,8,0,3,0,0,0,0,0
281,Jada Fire in Assault That Ass 8 Sc3,1772.08,6,0,3,0,0,0,0,0
282,Jada Fire in Throat Yogurt 2 Sc1,825.17,2,0,2,0,0,1,0,1
283,Jasmine Webb in We Fuck Black Girls 9 Sc3,1741.89,5,0,1,0,0,0,0,0
284,Jasminy Villar in The Stepfather And His Four Friends,3601.9,16,0,4,0,0,0,0,0
285,Jena LaRose in Blacks On Blondes,2051.49,6,0,1,0,0,0,0,0
286,Jennifer White in Jennifer White Overload Sc1,3271.9,19,0,3,0,0,0,0,0
287,Jennifer White in Jennifer White Overload Sc2,3398.01,14,0,4,0,0,1,0,1
288,Jennifer White in Jennifer White Overload Sc3,2525.56,17,0,4,0,0,0,0,0
289,Jenny Pretinha in Fucked by 3 Huge Cocks,1525.5,2,0,2,0,0,0,0,0
290,Juelz Ventura in POV BBC Airtight Gangbang,2889.31,15,0,2,0,0,0,0,0
291,"Jureka Del Mar, Maylee Fun in Asian Hotties Work to Cure",927.16,1,0,1,0,0,0,0,0
292,Katalina Kyle in Ass Worship 18 Sc3,2497.1,12,0,3,0,0,0,0,0
293,Katalina Kyle in Takes Every Inch Of Manuel,1619.48,7,0,2,0,0,0,0,0
294,Katia Belinii in Swallowing 5 Big Loads,1602.46,8,0,3,0,0,0,0,0
295,Kayla Carera in Bride Bangers Sc1,1466.64,1,0,1,0,0,0,0,0
296,Kayla Carrera in Anal Integrity Sc1,2701.5,3,0,3,0,0,0,0,0
297,Kaylani Lei in Asian Fuck Machines Sc5,2666.77,5,0,3,0,0,0,0,0
298,Kazumi Squirts in BBC Orgy Room,4253.97,18,0,3,0,0,0,0,0
299,Kazumi Squirts in Gangbang With Piss and DP,3392.33,15,0,5,0,0,0,0,0
301,Kelly Oliveira in Assfucked 4on1 with DP,2982.93,6,0,2,0,0,0,0,0
302,Kelly Oliveira in First DP for Brazilian Teen,1941.68,4,0,2,0,0,0,0,0
303,Kelly Oliveira in Sexy Latina DAP 3on1,2731.42,5,0,3,0,0,0,0,0
304,"Kelly Oliveira, Veronica Leal in 5on2 orgy with DP",3354.17,5,0,3,0,0,0,0,0
305,Keri Sable in Cum Filled Asshole Overload 2 Sc1,2796.03,3,0,2,0,0,1,0,1
306,Kim XXX in Manga Total Vollgespritzt Sc1,1921.96,7,0,3,0,0,0,0,0
307,Kim XXX in Tiny Whore Kim XXX Stuffed,2071.48,5,0,2,0,0,0,0,0
308,Kira Thorn in Balls Deep 5on2,2984.69,7,0,2,0,0,0,0,0
309,Kitana Montana in Birthday Threeway,1767.27,6,0,2,0,0,0,0,0
310,Kitana Montana in Post,2356.53,10,0,3,0,0,0,0,0
311,Laura Fiorentino in 6on1 Swallow,3877.5,14,0,6,0,0,0,0,0
312,Lela Star in Assparade 54 Sc2,719.83,2,0,2,0,0,0,0,0
313,Lena Coxx in Italiana Guarra se Come 6 Pollas,2180.24,5,0,3,0,0,0,0,0
314,Lolly Ink in True Gonzo Sc5,1580.37,4,0,3,0,0,1,0,1
315,Luna Star in Double Stuffed,2003.93,8,0,2,0,0,0,0,0
316,Luna Star in Why She's A Pornstar,2068.02,7,0,3,0,0,0,0,0
317,Marilyn Johnson in Airtight Diva Sc1,1617.07,2,0,1,0,0,0,0,0
318,"Mariska, Tekohas in Cum Cum Gangbang Orgy",996.07,6,0,2,0,0,0,0,0
319,Maxine X in I'm Here for the Gang Bang! Sc1,2883.66,9,0,4,0,0,0,0,0
320,Maxine X in I'm Here for the Gang Bang! Sc2,3520.19,11,0,2,0,0,0,0,0
321,Megan Rain in 10 Cock Blowbang!,1505.33,2,0,2,0,0,1,0,1
322,Melissa Hot in Fucked by 4 Big Cocks,2871.21,8,0,3,0,0,0,0,0
323,"Melissa Moore, Morgan Lee in Orgy Masters 8 Sc2",3110.92,7,0,1,0,0,0,0,0
324,"Melissa Stratton, Tru Kait in Hoo Milfy Ass",1472.38,5,0,2,0,0,0,0,0
325,Mercedes Carrera in MILF Cumsluts Sc4,2974.8,10,0,3,0,0,0,0,0
326,Mia Trejsi in 100% Hell,3432.54,14,0,3,0,0,0,0,0
327,"Mia Trejsi, Ria Sunn in Angels Of Hardcore 3 Sc1",368.17,2,0,2,0,0,0,0,0
328,Mih Ninfetinha in 4on1 with DP,2697.69,12,0,3,0,0,0,0,0
329,Miss Teela in First Time 10 Gangbang,1702.4,9,0,2,0,0,0,0,0
330,Monika Fox in DP Fantasies 11 Sc3,2549.07,6,0,3,0,0,1,0,1
331,Natasha Teen in Pussy DAPTAP,2914.04,6,0,2,0,0,0,0,0
332,Nia Nacci in Cum Bang 15 Sc3,2274.57,10,0,3,0,0,1,0,1
333,Nia Nacci in We Fuck Black Girls 14 Sc5,1953.01,2,0,2,0,0,0,0,0
334,Nia Nacci in White Out 9 Sc2,3971.75,17,0,4,0,0,0,0,0
335,"Nicky Sweetheart, Tekohas in Tekohas and Nicki Gangbanged",2217.92,11,0,2,0,0,0,0,0
336,Nina Elle in Big Wet Milf Asses Sc2,1890.05,3,0,1,0,0,0,0,0
337,Nina Elle in Gang Bang Addiction Sc4,2890.12,7,0,2,0,0,0,0,0
338,Nina Elle in MILF Cumsluts Sc3,2316.06,2,0,2,0,0,1,0,1
339,"Olivia Del Rio, Shalina Devine in DP Fantasies 11 Sc1",1654.47,5,0,4,0,0,0,0,0
340,Phoenix Marie in Ass Worship 13 Sc4,2550.74,8,0,1,0,0,0,0,0
341,Rachele Richey in Gangbang Audition,2679.13,8,0,2,0,0,0,0,0
342,Rose Lynn in Airtight Diva Sc3,1585.07,5,0,3,0,0,0,0,0
343,Sadie Summers in Gangbang Sluts Sc2,3098.0,19,0,4,0,0,0,0,0
344,Sai Tai Tiger in Die Haremswächterin des Öl Scheichs Sc2,692.67,4,0,1,0,0,0,0,0
345,"Sai Tai Tiger, Daria Glower in Die Haremswächterin des Öl Scheichs Sc5",912.0,1,0,1,0,0,0,0,0
346,"Sai Tai Tiger, Daria Glower, Valerie Hilton in Die Haremswächterin des Öl Scheichs Sc1",1574.35,1,0,1,0,0,1,0,1
347,Sandra Parker in 1st at GB Junkies,1725.71,8,0,2,0,0,0,0,0
348,Sandra Parker in Anal Driller 9 Sc3,1411.03,6,0,1,0,0,0,0,0
349,Sandra Parker in Analizator Sc4,1873.37,2,0,2,0,0,1,0,1
350,Sandra Parker in Cum Hungry Leave Full 2 Sc3,1852.02,4,0,1,0,0,0,0,0
351,Sandra Parker in Double Stuffed 8 Sc1,1689.02,5,0,1,0,0,0,0,0
352,Sara Retali in BBC Piss Gangbang,2231.14,13,0,2,0,0,0,0,0
353,Sara Retali in Slut Cant Get Enough Gangbang,1841.15,9,0,4,0,0,0,0,0
354,"Sara Retali, Nelson Mandingo in 4on1 BBC's Including DP",1207.62,6,0,2,0,0,0,0,0
355,"Sara Retali, Sapphire Astrea in Spa Day Gone Wild",930.08,2,0,2,0,0,0,0,0
356,Sarai Minx in Big Tit Slut Milks Cock,1562.59,5,0,3,0,0,0,0,0
357,"Sheila Ortega, Sara Retali, Anny Star in 3 Latinas by the Pool",2443.6,5,0,3,0,0,0,0,0
358,Shyla Stylez in Anal Integrity Sc2,2097.2,4,0,3,0,0,0,0,0
359,Sirena XXX in The Adventures of Potro and Pony S01E01,3149.11,14,0,2,0,0,0,0,0
360,Skin Diamond in Rump Raiders Sc3,1820.97,3,0,1,0,0,0,0,0
361,,18562.53,50,0,4,0,0,0,0,0
362,Summer Day in America Bukkake Live,1495.04,2,0,2,0,0,1,0,1
363,Summer Day in Interracial Double Penetration Gangbangs 2 Sc2,1893.47,11,0,3,0,0,0,0,0
364,Summer Vixen in Gangbang Sluts Sc3,2318.0,14,0,3,0,0,0,0,0
365,Syren De Mer in Lewood Gangbang Battle of the MILFs 3 Sc1,3808.68,15,0,4,0,0,0,0,0
366,Tekohas in Ass & BigTits,1987.33,6,0,3,0,0,0,0,0
367,Tekohas in Bareback Party in Stuttgart,3021.03,15,0,3,0,0,0,0,0
368,Thai Suzy in WeLoveBukkake 4,993.54,2,0,2,0,0,1,0,1
369,Tia Maria in Cum On Melon Tits,2922.37,8,0,2,0,0,0,0,0
370,Tia Maria in DPd By Two BWCs,1677.93,4,0,2,0,0,0,0,0
371,Tyra Ride in First BBC  DP Gangbang,2411.49,12,0,4,0,0,0,0,0
372,Veronica Avluv in Lewood Gangbang Battle of the MILFs Sc10,363.0,1,0,1,0,0,0,0,0
373,Veronica Avluv in Lewood Gangbang Battle of the MILFs Sc11,377.98,1,0,1,0,0,0,0,0
374,Veronica Avluv in Lewood Gangbang Battle of the MILFs Sc12,3230.76,17,0,4,0,0,0,0,0
376,Veronica Avluv in Lewood Gangbang Battle of the MILFs Sc8,287.95,1,0,1,0,0,0,0,0
378,Veronica Leal in Domination Gangbang,3676.9,18,0,4,0,0,0,0,0
379,Vittoria Devine in DP Pee 5on1,4787.33,17,0,3,0,0,0,0,0
380,Vittoria Devine in Domination Gangbang,2075.61,8,0,4,0,0,0,0,0
381,Vitória Beatriz in 2 Cocks Christmas Gift,2631.01,4,0,1,0,0,0,0,0
382,Vitória Beatriz in Edjunior VideoGuru,892.0,2,0,1,0,0,0,0,0
383,Willow Ryder in I Love Anal 3 Sc3,2177.1,11,0,2,0,0,1,0,1
384,Yasmina Khan in Birthday Gangbang,1583.33,6,0,3,0,0,0,0,0
385,Yasmina Khan in Play with 4 Cocks at Once!,2459.47,11,0,1,0,0,0,0,0
386,AJ Applegate in Gangbang Me Sc1,3184.69,4,0,2,0,0,0,0,0
388,Adira Allure in Interracial Blowbang 24 Sc1,2018.72,8,0,4,0,0,1,0,1
389,"Adira Allure, Andi Avalon, Annie King, Cami Strella, Charli Phoenix in Graduation Overload Sc2",1200.63,6,0,2,0,0,0,0,0
392,"Adriana Chechik, Gaia in Grease XXX A Parody Sc5",1245.2,2,0,1,0,0,1,0,1
394,Adrianna Luna in Praise The Load 7 Sc1,1590.98,6,0,4,0,0,1,0,1
395,Adrianna Luna in Slut Puppies 5 Sc5,1963.99,7,0,1,0,0,0,0,0
396,Aidra Fox in Gangbanged 7 Sc1,3703.02,7,0,3,0,0,0,0,0
397,Alena Croft in Blacks on Cougars 17 Sc1,1905.91,4,0,2,0,0,1,0,1
398,Alena Croft in Feeding Frenzy 12 Sc2,1668.84,4,0,3,0,0,1,0,1
399,Alena Croft in Gangbang her Little White Thang! 20 Sc1,2074.42,8,0,3,0,0,0,0,0
400,"Alena Croft, Cherie DeVille, Jasmine Jae, Nina Elle, Ryan Conner in Manuel Ferrara's Reverse Gangbang 3 Sc2",3823.94,9,0,3,0,0,0,0,0
401,Alexa Aimes in Darkko's Throat Fucks 5 Sc9,2108.36,9,0,2,0,0,1,0,1
402,Alexis Ford in Gang Bang Addiction Sc3,3074.11,17,0,3,0,0,0,0,0
403,Alexis Malone in Darkko's Throat Fucks 8 Sc6,2406.19,8,0,3,0,0,2,0,2
404,Alexis Monroe in Gang Bang Addiction Sc5,3167.07,7,0,4,0,0,0,0,0
405,Alexis Texas in Gang Bang Addiction Sc1,1871.1,9,0,2,0,0,0,0,0
406,Alexxa Vice in Alexxa Sperma & Anal Total Sc1,2099.5,12,0,2,0,0,0,0,0
407,Alina in Annegret Zugekleistert Sc4,1086.13,4,0,2,0,0,0,0,0
409,Alina Lopez in No Going Back Sc1,720.81,1,0,1,0,0,0,0,0
410,Alina Lopez in Perfectly Natural 19 Sc4,1335.45,2,0,1,0,0,0,0,0
411,Alina Lopez in Pussy is The Best Medicine 9 Sc5,643.23,1,0,1,0,0,0,0,0
413,Alina Lopez in Wet Food 9 Sc1,3173.84,17,0,2,0,0,1,0,1
415,"Alyssa Divine, Kiki Minaj, Victoria Pure, Victoria Summers in Backstage Bangers Sc1",1698.25,5,0,2,0,0,0,0,0
416,Amara Romani in Gangbang Auditions 31 Sc3,3535.03,12,0,4,0,0,0,0,0
418,Amber Deen in Dogfart Invades Europe! 4 Sc1,2030.69,4,0,2,0,0,1,0,1
419,"Ameena Green, Willow Ryder in Willow's Room Sc3",2825.64,11,0,3,0,0,0,0,0
420,Amelia Sadaat in White Dicks in Black Chics 3 Sc4,631.71,1,0,1,0,0,0,0,0
421,"Ana Foxxx, Cali Carter, Vicki Chase in Swallowed 3 Sc1",2221.59,9,0,2,0,0,1,0,1
422,Andi Anderson in Young Harlots Gang Bang Sc2,4059.46,23,0,4,0,0,0,0,0
423,"Angel Eyes, Jada Fire in Freak Nasty Sc1",681.83,3,0,2,0,0,0,0,0
424,Angela White in Going All Out with a Gangbang 2 Sc4,2827.82,8,0,4,0,0,0,0,0
425,"Angela White, Ava Addams, Bridgette B. in Pornstar Therapy Sc1",3376.44,15,0,3,0,0,0,0,0
427,"Adreena Winters, Rebecca Jane Smyth, Talula Thomas in Swinger Beach 100 Guys 3 CumSluts",1079.8,6,0,3,0,0,1,0,1
428,Alejandra Rico in Intense Latin Gangbang,1350.14,5,0,2,0,0,0,0,0
429,Alejandra Rico in Tons of Cum,1581.57,5,0,2,0,0,1,0,1
430,Alex Grey in A Dirty Submissive Slut For Cock,1393.96,3,0,1,0,0,1,0,1
431,Alexa Nova in GangBang Creampie 246,2005.99,7,0,1,0,0,0,0,0
432,Alexa Payne in Stepmom Seduction on the Kitchen Counter,2150.67,5,0,2,0,0,0,0,0
433,"Alexia Vendome, Sothy Hiko, Yasmine Lafitte in No Limits Anal and Oral Orgy",1317.99,4,0,1,0,0,0,0,0
434,Alexis Kay in GangBang Creampie 417,782.58,4,0,3,0,0,0,0,0
435,Alicia Ribeiro in Anal and Oral with 3 Big Black Cocks,2701.5,4,0,2,0,0,0,0,0
436,Alicia Trece in Rough Gangbang and Pee Play,2822.9,8,0,3,0,0,0,0,0
437,Aliyah Taylor in Gang Bang All Her Holes,1805.91,7,0,3,0,0,0,0,0
438,Allatra Hot in MILF Craving Hardcore Attention,1370.7,4,0,1,0,0,0,0,0
439,Alura Jenson in GangBang Creampie 240,2719.32,10,0,3,0,0,0,0,0
440,"Alura Jenson, Jenevieve Hexxx, Maci May, Miss Raquel, Savana Styles, Ziggy Star in Workout Orgy!",3930.19,11,0,3,0,0,0,0,0
441,"Alyssa Bounty, Polly Pons, Shalina Devine in Wild 1920s Party",2893.35,5,0,3,0,0,0,0,0
442,Amari Anne in You Wanna Cheat Again,2416.03,6,0,2,0,0,0,0,0
443,Amirah Adara in Rough Gangbang Session,3034.87,2,0,1,0,0,0,0,0
444,Amy Reid in AllOut Blowbang Session,1026.51,2,0,2,0,0,1,0,1
445,Ana Júlia in A Cavala Ana Fodendo no Pelo com 4 Dotados,3231.2,7,0,3,0,0,0,0,0
446,Ana Júlia in DP com a Mulata Cavala,2450.12,7,0,3,0,0,0,0,0
447,"Ana Júlia, Shayenne Samara in Ménage a 3 com as Estrelas do Pornô",1562.35,3,0,2,0,0,0,0,0
448,"Anais Hayek, Hannah Hayek, Natasha Teen in Hayek Twins Anal Bash",5115.56,4,0,2,0,0,0,0,0
449,Angel Lima in Big Butt Airtight Show,2837.54,5,0,2,0,0,0,0,0
450,Angel Lima in Hardcore Brazilian Double Anal,3478.13,7,0,3,0,0,0,0,0
451,"Angel Lima, Elisa Sanches in Angel y Elisa Pela 1° vez Juntas",3114.73,8,0,2,0,0,0,0,0
452,"Angel Lima, Elisa Sanches in Family Heat Fiesta",1476.81,6,0,2,0,0,0,0,0
453,"Angel Lima, Elisa Sanches in Tropical Lesbians & Orgy",3114.77,11,0,2,0,0,0,0,0
454,Angel Sins in Short Stuff Big Stuff,2863.71,2,0,1,0,0,0,0,0
455,"Angel Smalls, Anna De Ville, Barbie Sins, Jureka Del Mar, May Thai, Nathaly Cherie, Selvaggia in Messy Facial Compilation",479.91,1,0,1,0,0,1,0,1
456,"Angie Bloom in Rough Anal, Pee Cocktail & Squirting Shower",4638.91,13,0,4,0,0,0,0,0
458,Ania Kinski in Intense Gangbang with Deep DP and Swallow,2835.8,8,0,1,0,0,0,0,0
459,Ania Kinski in Kinky DP Session At The Clinic,2079.32,1,0,1,0,0,1,0,1
460,Ania Kinski in Rich Busty Milf DP'ed by the Pool Boys,2198.79,8,0,2,0,0,0,0,0
462,"Ania Kinski, Anissa Kate in French Duo's Interracial Bowling Encounter",4163.26,11,0,3,0,0,0,0,0
463,"Ania Kinski, Anissa Kate in Nympho Teachers Seduce Colleagues",1977.47,3,0,2,0,0,0,0,0
465,"Ania Kinski, Jasmine Jae in MILFs' Real Estate Threesome",2405.01,4,0,1,0,0,0,0,0
466,"Ania Kinski, Paola Guerra in Backdoor Threesome Delight",3407.16,7,0,2,0,0,0,0,0
467,"Ania Kinski, Valentina Ricci in Curvy Housewives Share Lutro",1761.96,8,0,2,0,0,0,0,0
468,Anissa Kate in A Hot Surfer Threesome,1927.33,6,0,2,0,0,0,0,0
469,Anissa Kate in Hardcore Business Meeting,2364.29,6,0,3,0,0,0,0,0
470,Anissa Kate in Poolside DP with BBC and Cumshot Finish,3007.15,6,0,2,0,0,0,0,0
471,"Anissa Kate, Brittany Bardot, Kitana Lure in New Year's Game Grand Finale",3045.74,8,0,3,0,0,0,0,0
472,"Anissa Kate, Lia Lin in Intense DP Experience",3016.48,7,0,2,0,0,0,0,0
474,"Anissa Kate, Nicole Doshi in Anissa and Nicole with a BBC",2188.8,8,0,3,0,0,0,0,0
475,"Anissa Kate, Shalina Devine in Rumbling in the Ring",2800.07,7,0,3,0,0,1,0,1
476,"Anna Gold, Sai Tai Tiger in Sperma Studio 1",913.45,7,0,2,0,0,0,0,0
477,Anni Star in Lingerie Pleasure Première,841.89,2,0,2,0,0,0,0,0
479,April Snow in GangBang Creampie 232,2387.31,11,0,3,0,0,0,0,0
480,"Ariel Pure Magic, Zoey Reyes in Dominican Oil Twins",997.95,1,0,1,0,0,0,0,0
481,Ariella Ferraz in Monster Cock Brazilian Anal & Sloppy BJ,2230.09,4,0,1,0,0,0,0,0
482,"Ashby Winter in Vogue 2, Part 5",2819.84,6,0,3,0,0,0,0,0
483,Ashley Cumstar in Curvy MILF enjoys Threesome,945.82,5,0,2,0,0,0,0,0
484,Ashley Cumstar in Gangbang Party,685.52,4,0,2,0,0,0,0,0
485,Athenea Rose in 5on1 Hardcore Gangbang,3371.07,15,0,3,0,0,0,0,0
